icd_code	icd_desc	sex
A34	Obstetrical tetanus	female
C51	Malignant neoplasm of vulva	female
C52	Malignant neoplasm of vagina	female
C53	Malignant neoplasm of cervix uteri	female
C54	"Malignant neoplasm of uterus, part unspecified"	female
C55	"Malignant neoplasm of uterus, part unspecified"	female
C56	Malignant neoplasm of ovary	female
C57	Malignant neoplasm of other and unspecified female genital organs	female
C58	Malignant neoplasm of placenta	female
C60	Malignant neoplasm of penis	male
C61	Malignant neoplasm of prostate	male
C62	Malignant neoplasm of testis	male
C63	Malignant neoplasm of other and unspecified male genital organs	male
D06	Carcinoma in situ of cervix uteri	female
D25	Leiomyoma of uterus	female
D26	Other benign neoplasms of uterus	female
D27	Benign neoplasm of ovary	female
D28	Benign neoplasm of other and unspecified female genital organs	female
D29	Benign neoplasm of male genital organs	male
D39	Neoplasm of uncertain behavior of female genital organs	female
D40	Neoplasm of uncertain behavior of male genital organs	male
E28	Ovarian dysfunction	female
E29	Testicular dysfunction	male
F53	"mental and behavioural disorders associated with the puerperium, not elsewhere classified[F53]"	female
N40	Benign prostatic hyperplasia	male
N41	Inflammatory diseases of prostate	male
N42	Other and unspecified disorders of prostate	male
N43	Hydrocele and spermatocele	male
N44	Noninflammatory disorders of testis	male
N45	Orchitis and epididymitis	male
N46	Male infertility	male
N47	Disorders of prepuce	male
N48	Other disorders of penis	male
N49	"Inflammatory disorders of male genital organs, not elsewhere classified"	male
N50	Other and unspecified disorders of male genital organs	male
N51	Disorders of male genital organs in diseases classified elsewhere	male
N52	Male erectile dysfunction	male
N53	Other male sexual dysfunction	male
N70	Salpingitis and oophoritis	female
N71	"Inflammatory disease of uterus, except cervix"	female
N72	Inflammatory disease of cervix uteri	female
N73	Other female pelvic inflammatory diseases	female
N74	Female pelvic inflammatory disorders in diseases classified elsewhere	female
N75	Diseases of Bartholin's gland	female
N76	Other inflammation of vagina and vulva	female
N77	Vulvovaginal ulceration and inflammation in diseases classified elsewhere	female
N80	Endometriosis	female
N81	Female genital prolapse	female
N82	Fistulae involving female genital tract	female
N83	"Noninflammatory disorders of ovary, fallopian tube and broad ligament"	female
N84	Polyp of female genital tract	female
N85	"Other noninflammatory disorders of uterus, except cervix"	female
N86	Erosion and ectropion of cervix uteri	female
N87	Dysplasia of cervix uteri	female
N88	Other noninflammatory disorders of cervix uteri	female
N89	Other noninflammatory disorders of vagina	female
N90	Other noninflammatory disorders of vulva and perineum	female
N91	"Absent, scanty and rare menstruation"	female
N92	"Excessive, frequent and irregular menstruation"	female
N93	Other abnormal uterine and vaginal bleeding	female
N94	Pain and other conditions associated with female genital organs and menstrual cycle	female
N95	Menopausal and other perimenopausal disorders	female
N96	Recurrent pregnancy loss	female
N97	Female infertility	female
N98	Complications associated with artificial fertilization	female
O00	Ectopic pregnancy	female
O01	Hydatidiform mole	female
O02	Other abnormal products of conception	female
O03	Spontaneous abortion	female
O04	Complications following (induced) termination of pregnancy	female
O06	unspecified abortion	female
O07	Failed attempted termination of pregnancy	female
O08	Complications following ectopic and molar pregnancy	female
O09	Supervision of high risk pregnancy	female
O10	"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"	female
O11	Pre-existing hypertension with pre-eclampsia	female
O12	Gestational [pregnancy-induced] edema and proteinuria without hypertension	female
O13	Gestational [pregnancy-induced] hypertension without significant proteinuria	female
O14	Pre-eclampsia	female
O15	Eclampsia	female
O16	Unspecified maternal hypertension	female
